selector,english_word,engmeaning,nepali_word,nepmeaning,image
arrange,arrange,,,मिलाउनु,
good job,good job,,,स्याबास,
ask,ask,,,सोध्नु,
Messed,Messed,,,नमिलेको,
conversation,conversation,,,कुराकानी,
learned,learned,,,थाहा पाउनु,
information,information,,,सूचना,
provide,provide,,,दिनु,
recieve,recieve,,,पाउनु,
verbal,verbal,,,मौखिक,
mediums,medium,,,माध्यम,
news,news,,,समाचार,
program,program,,,कार्यक्रम,
call,call,,,फोन गर्नु,
dail,dail,,,डायल गर्नु,
listening,listen,,,सुन्‍नु,
watch,watch,,,हेर्नु,
favorite,favorite,,,मनपर्ने,
postman,postman,,,हुलाकी,
exchange,exchange,,,आदान प्रदान,
